mailgrp,appeal,ward,voted98,mailings
1,1,24,1,3
0,3,11,1,0
0,2,6,1,0
1,3,25,0,2
0,2,30,0,0
0,2,17,1,0
1,2,21,0,2
0,1,30,0,0
0,3,28,0,0
1,3,13,0,2
0,3,5,0,0
0,1,14,0,0
0,2,18,0,0
0,3,14,1,0
0,3,14,0,0
1,2,17,0,2
1,2,11,0,2
1,3,5,0,1
1,2,24,0,2
0,3,27,0,0
0,2,22,0,0
1,1,2,0,1
1,2,30,1,2
0,2,6,0,0
0,3,30,1,0
0,2,15,1,0
0,3,3,0,0
0,3,4,0,0
0,2,4,0,0
0,1,3,0,0
0,3,15,0,0
0,2,3,0,0
0,3,14,1,0
0,1,8,0,0
1,3,13,0,2
1,1,18,1,2
1,2,25,1,2
0,1,24,1,0
0,1,13,1,0
1,2,26,1,1
0,3,9,1,0
0,2,6,0,0
1,2,18,0,1
0,3,13,1,0
1,3,11,1,3
0,3,13,0,0
0,1,14,1,0
1,3,5,0,1
0,2,26,1,0
1,2,25,1,1
1,1,28,1,2
0,2,28,1,0
0,2,14,1,0
0,1,12,1,0
0,3,9,0,0
0,2,18,0,0
0,1,12,0,0
1,2,12,1,1
1,1,13,1,1
0,3,9,0,0
1,1,18,0,2
0,2,25,1,0
0,3,27,0,0
0,3,8,0,0
1,3,9,0,3
0,3,27,0,0
0,2,24,1,0
1,3,22,1,3
0,1,10,0,0
1,2,25,1,2
1,3,26,1,3
0,3,11,1,0
0,1,9,0,0
0,2,27,0,0
0,2,21,1,0
0,2,8,0,0
1,3,13,0,2
1,2,17,1,3
0,1,13,1,0
0,3,18,1,0
0,3,26,1,0
0,2,27,1,0
0,3,12,1,0
0,1,18,1,0
0,2,10,1,0
0,1,23,0,0
1,3,17,1,1
0,2,18,0,0
1,2,26,0,3
1,1,5,0,1
0,3,6,1,0
1,2,10,0,1
1,2,23,0,1
0,1,24,0,0
1,2,14,0,2
1,1,25,0,1
0,2,12,1,0
0,2,9,1,0
1,2,16,0,2
0,3,11,1,0
0,2,18,1,0
1,1,23,0,2
0,1,10,1,0
0,3,27,0,0
0,3,16,1,0
0,3,25,0,0
0,3,13,1,0
1,2,27,1,3
0,2,13,1,0
0,1,13,1,0
1,3,13,0,2
1,2,18,0,3
0,2,17,1,0
0,3,18,0,0
1,2,9,0,1
1,3,27,1,1
0,2,18,1,0
0,2,11,1,0
0,2,17,0,0
1,3,8,0,1
0,3,18,1,0
1,3,23,1,1
0,2,18,0,0
0,1,4,0,0
1,3,17,1,2
0,1,12,0,0
0,2,10,1,0
0,2,26,0,0
1,1,25,1,1
0,3,9,1,0
1,1,27,0,3
0,1,8,1,0
0,3,11,1,0
0,3,26,1,0
1,1,25,0,1
0,1,8,0,0
0,1,10,1,0
0,1,14,0,0
0,1,17,0,0
1,3,21,0,1
1,2,19,0,3
1,1,5,0,2
1,2,30,0,2
0,3,11,0,0
0,1,13,0,0
0,2,27,1,0
1,1,9,1,3
1,1,27,0,2
0,2,18,1,0
1,3,7,0,2
1,2,6,0,1
0,1,16,1,0
0,2,4,0,0
0,3,3,0,0
1,2,25,0,3
0,1,13,0,0
0,1,6,0,0
1,1,18,1,1
1,3,9,0,3
1,1,17,1,3
0,2,18,1,0
0,2,18,0,0
0,3,2,0,0
0,1,23,0,0
1,2,12,0,2
0,2,7,0,0
0,1,13,0,0
1,1,26,1,3
0,1,13,0,0
1,1,30,1,1
1,3,4,0,2
0,2,24,1,0
0,2,3,1,0
1,2,16,0,2
0,3,13,0,0
0,3,9,1,0
0,3,13,1,0
0,3,23,0,0
0,2,18,0,0
1,2,25,0,1
1,2,28,0,2
0,3,13,0,0
1,1,4,0,2
0,3,27,0,0
0,1,13,0,0
1,1,22,0,3
1,2,25,1,2
1,3,28,1,3
0,1,21,1,0
1,3,12,0,1
1,3,23,0,2
0,3,30,0,0
0,3,26,0,0
0,3,8,0,0
0,2,18,1,0
0,2,29,0,0
1,2,22,1,3
0,2,30,1,0
1,2,30,1,2
0,2,9,1,0
0,3,27,1,0
0,3,24,0,0
0,1,26,0,0
0,3,30,0,0
1,3,28,1,1
0,1,20,0,0
1,1,30,1,2
1,2,24,0,2
0,2,7,0,0
1,1,27,1,2
0,2,18,0,0
0,3,18,0,0
0,3,21,0,0
0,3,25,0,0
0,1,15,1,0
0,1,21,0,0
1,1,25,0,2
0,2,6,0,0
1,2,5,0,2
0,3,29,1,0
0,2,24,1,0
0,2,22,0,0
1,2,24,0,1
0,3,27,0,0
0,1,16,0,0
0,1,29,0,0
0,2,15,0,0
1,2,10,1,3
1,2,14,0,2
0,3,19,0,0
0,1,11,1,0
0,2,28,1,0
0,3,4,1,0
0,3,17,0,0
0,3,14,1,0
1,2,14,1,1
0,1,19,0,0
0,1,26,0,0
0,3,27,0,0
1,3,21,0,2
0,3,19,0,0
1,1,28,1,2
0,1,19,0,0
1,2,23,0,1
0,3,28,1,0
0,1,11,0,0
1,3,26,0,3
1,1,27,1,2
1,3,20,0,1
0,3,20,0,0
0,1,14,0,0
1,2,20,0,2
1,3,17,1,1
0,1,19,0,0
0,2,24,0,0
0,3,22,0,0
0,1,27,1,0
1,3,16,0,2
1,1,24,0,2
1,2,23,0,1
0,3,16,0,0
1,3,17,0,3
0,3,26,1,0
0,3,18,0,0
1,2,3,0,2
1,2,4,0,3
0,3,6,0,0
0,2,22,1,0
1,1,18,1,3
0,1,14,0,0
1,3,27,0,3
0,2,24,0,0
0,3,15,0,0
0,3,25,0,0
0,1,15,0,0
1,1,27,1,1
1,3,5,0,1
0,2,12,0,0
0,1,17,1,0
1,3,26,1,1
1,1,13,1,2
1,3,22,0,3
0,2,23,1,0
1,1,16,1,2
1,1,10,1,1
0,3,25,1,0
1,3,26,1,2
1,1,3,0,1
1,2,6,1,1
1,3,13,0,3
1,3,25,1,3
1,2,30,1,1
0,1,10,0,0
0,3,6,1,0
0,2,25,0,0
1,3,14,1,3
0,3,3,0,0
0,3,18,1,0
0,3,19,1,0
0,1,18,1,0
0,3,27,1,0
0,2,28,1,0
1,2,14,0,3
0,1,13,0,0
1,1,18,1,2
1,2,9,0,3
1,2,13,1,2
0,1,28,0,0
0,1,25,1,0
1,2,19,1,2
1,1,17,1,2
0,3,19,1,0
1,3,26,1,1
0,3,30,0,0
0,2,25,0,0
0,1,4,0,0
0,1,19,1,0
0,2,29,1,0
0,1,26,1,0
0,3,20,1,0
1,3,26,1,2
0,1,19,1,0
0,3,19,1,0
1,1,30,0,3
0,3,30,1,0
0,3,26,0,0
1,3,27,1,1
0,1,18,0,0
1,3,18,0,3
1,3,25,1,3
0,3,20,0,0
1,1,17,1,3
0,3,3,1,0
0,2,15,1,0
1,3,4,0,3
0,2,11,1,0
0,3,5,0,0
1,2,12,1,2
1,1,30,1,1
1,1,23,0,2
1,3,14,1,3
1,2,30,1,3
1,3,17,1,3
0,3,26,0,0
1,2,6,0,2
0,1,8,0,0
0,3,12,1,0
0,2,25,0,0
0,2,21,0,0
0,3,15,1,0
0,3,18,0,0
0,3,27,1,0
0,3,18,1,0
1,2,19,0,2
0,1,28,0,0
0,2,28,1,0
0,1,27,1,0
1,2,5,0,3
0,2,18,1,0
0,3,18,0,0
0,1,28,0,0
0,3,15,1,0
0,3,3,0,0
0,3,6,0,0
0,2,17,1,0
0,1,18,0,0
0,2,20,0,0
0,1,4,0,0
0,3,10,1,0
0,2,20,1,0
0,1,21,1,0
1,2,26,1,3
0,2,28,1,0
1,1,27,1,2
1,3,30,0,2
0,3,11,1,0
0,1,4,0,0
1,2,23,0,3
0,3,3,1,0
0,3,6,1,0
0,3,21,1,0
0,2,27,1,0
0,1,3,0,0
0,2,30,0,0
0,2,24,0,0
0,3,6,1,0
1,2,5,0,3
0,3,16,0,0
0,3,16,1,0
1,3,27,0,1
1,3,14,0,2
0,2,5,1,0
1,2,16,0,3
0,1,27,0,0
0,3,18,0,0
1,2,27,0,1
1,3,17,0,1
1,3,29,0,3
1,2,17,0,2
0,1,10,1,0
0,3,27,1,0
1,2,11,0,1
1,3,30,0,1
1,1,24,1,3
0,1,28,1,0
0,3,29,0,0
0,1,28,0,0
1,3,6,0,2
0,1,29,1,0
1,3,13,0,2
1,3,19,1,1
1,2,6,0,2
1,2,6,1,2
1,1,28,1,2
0,1,19,1,0
0,2,9,1,0
0,3,7,0,0
1,1,26,1,2
1,3,27,0,2
0,3,19,1,0
1,2,5,1,2
1,3,20,1,2
0,2,27,1,0
0,3,17,0,0
1,2,27,0,2
0,1,14,0,0
0,2,18,1,0
0,3,18,0,0
0,3,15,0,0
0,1,17,1,0
1,3,24,0,3
0,1,21,0,0
0,1,19,1,0
1,1,11,1,2
1,2,24,0,2
0,1,11,1,0
0,3,14,1,0
0,2,13,0,0
0,3,5,0,0
1,1,27,0,1
1,1,10,0,1
1,3,7,0,3
1,3,18,0,1
1,2,19,1,2
1,3,18,0,1
1,3,13,0,1
0,3,26,1,0
1,1,29,0,2
1,2,13,1,1
1,1,17,1,2
0,1,26,1,0
0,3,6,1,0
0,3,27,0,0
0,1,18,0,0
0,2,25,1,0
1,1,18,1,2
1,1,10,1,2
0,2,28,1,0
0,1,13,1,0
1,2,26,1,1
1,3,12,0,2
0,2,16,0,0
0,3,28,1,0
0,2,18,1,0
1,2,26,1,3
1,2,25,1,1
0,3,25,1,0
0,1,25,1,0
0,2,9,0,0
0,2,15,0,0
0,3,11,0,0
0,2,16,0,0
1,3,28,1,3
0,2,21,1,0
0,1,18,1,0
0,3,3,1,0
0,3,26,1,0
1,2,15,0,1
0,3,5,0,0
0,1,12,0,0
0,2,25,1,0
1,1,30,1,3
0,1,30,1,0
0,1,11,0,0
0,2,8,1,0
0,3,8,1,0
1,3,17,0,2
1,1,3,1,2
0,2,10,1,0
1,2,13,0,1
1,2,15,0,2
1,3,27,1,1
1,2,30,1,3
0,1,30,0,0
0,2,8,1,0
0,1,18,1,0
1,3,10,0,3
0,2,18,1,0
1,2,18,1,2
0,2,22,0,0